address,top_rank,top_role,vote,chain,first_gas_funder_in_window,first_gas_timestamp_utc,first_gas_tx_hash,first_gas_value,all_incoming_native_count,all_incoming_native_total
0x84252729ed32fa0fa1b454b8f58b71758239d627,41,staker,NO,ethereum,0x2cff890f0378a11913b6129b2e97417a2c302680,2026-04-29T13:23:11.000Z,0x5a7740fe0e01b55ed68e8b873dacd068148a066b3568d37546ec4a9207261511,0.2,1,0.2
0x84252729ed32fa0fa1b454b8f58b71758239d627,41,staker,NO,polygon,,,,0.0,0,0.0
0x6391098e7404210be5b4b67c1bb6c1bdf4be194a,42,staker,OTHER/YES,ethereum,,,,0.0,0,0.0
0x6391098e7404210be5b4b67c1bb6c1bdf4be194a,42,staker,OTHER/YES,polygon,,,,0.0,0,0.0
0x24f16d0cda8c2de21c762e0295c28d7249a972a4,42,delegate_hot_wallet,OTHER/YES,ethereum,,,,0.0,0,0.0
0x24f16d0cda8c2de21c762e0295c28d7249a972a4,42,delegate_hot_wallet,OTHER/YES,polygon,,,,0.0,0,0.0
0x69d0a6ccb76f3f7ef96dada03b01b555e76fa819,43,staker,YES,ethereum,0x876311979b95e676ef332490520ad315ae186b37,2026-05-16T08:04:35.000Z,0x910d5ce381ce9a24e400c4335456c57555c1e0e5a6a548477dfea2db86f48b3f,1e-09,40,4e-08
0x69d0a6ccb76f3f7ef96dada03b01b555e76fa819,43,staker,YES,polygon,,,,0.0,0,0.0
0xdd2cb8c9b8fccdc366ae60f4fe1c99813ec0d18e,43,delegate_hot_wallet,YES,ethereum,0xdd2cb8c9b8fccdc366ae60f4fe1c99813ec0d18e,2026-05-20T08:26:11.000Z,0x3ecda1dcbcdd5518c30908189b8268cc06be137d06ba0e7b23783ba35a678af9,0.0108,2,0.0216
0xdd2cb8c9b8fccdc366ae60f4fe1c99813ec0d18e,43,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0xed92d127277fae0dba3490b724f81dcb95a8a7b0,44,staker,YES,ethereum,,,,0.0,0,0.0
0xed92d127277fae0dba3490b724f81dcb95a8a7b0,44,staker,YES,polygon,,,,0.0,0,0.0
0x27064cc4fe5bd5a20d0e5a21390a45f5a44bf7d3,44,delegate_hot_wallet,YES,ethereum,0xfa205120907585d2c46214beb2f27bc496e4235d,2026-04-20T15:12:23.000Z,0x4a00b0add8fc8bb26ce78bbae8506d560729b5324226b94f50b0568147be1799,0.005,4,0.07500000000000001
0x27064cc4fe5bd5a20d0e5a21390a45f5a44bf7d3,44,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0xa9b0d5c5e012cb47dd473fe3cea272b5f716c344,45,staker,YES,ethereum,,,,0.0,0,0.0
0xa9b0d5c5e012cb47dd473fe3cea272b5f716c344,45,staker,YES,polygon,,,,0.0,0,0.0
0xa8e20d1b16c2821c2e17a58eb9c92c2ec7699283,45,delegate_hot_wallet,YES,ethereum,,,,0.0,0,0.0
0xa8e20d1b16c2821c2e17a58eb9c92c2ec7699283,45,delegate_hot_wallet,YES,polygon,,,,0.0,0,0.0
0xc9e8233c2c5476cda4f96595bbb3a9d117168df5,46,staker,YES,ethereum,,,,0.0,0,0.0
0xc9e8233c2c5476cda4f96595bbb3a9d117168df5,46,staker,YES,polygon,,,,0.0,0,0.0
0x79c8039c0cfbdc3cdf8d66efb1ad2836e698ea3c,46,delegate_hot_wallet,YES,ethereum,,,,0.0,0,0.0
