rank,staker_wallet,ens,vote,voting_power_uma,pct_of_round,current_staked_uma,wallet_uma_balance,claimable_rewards_uma,delegate_hot_wallet,eth_balance,tx_count,reveal_time_utc,same_staker_and_delegate
16,0xb73812cce6f5cb7ada40a134b4b16aefbdbb9472,,YES,282946.0,1.51,283539.0,0.0,2461.6,,0.216,790.0,2026-06-17T00:04:47,False
17,0xf0027afb0cfbaae582e21d96e2761b0b07bfbfb2,,YES,266957.0,1.43,266957.0,0.0,542.5,0x5db732749c6871540f481c15ebf353fc03c225d3,0.0,1.0,2026-06-17T07:10:47,False
18,0x2c26767989d49215d249e6d36f8e3fe2717f7dbd,,YES,255937.0,1.37,256168.0,0.0,628.4,,0.022,289.0,2026-06-17T08:36:23,False
19,0x840bf8f06b175aa001b85cdb68b3378e8b14946f,,YES,255551.0,1.37,256086.0,0.0,889.2,0x8bd7b5e860998607715da42944cc9de3486a3ae2,0.0,1.0,2026-06-17T09:14:23,False
20,0x0e5f35f0c4395e19a26f05d10d971efb0ed20049,,YES,238473.0,1.28,239168.0,0.0,154.2,0x8d47cd9b8b015b0f3865e8ee0b96b8125bb1f483,0.0,1.0,2026-06-17T08:04:11,False
21,0x9e307d74b79af7930608065b9ce24b20ed2a0d35,,YES,232758.0,1.25,233245.0,0.0,1199.8,0x35a7f9db799649908688826e06ca754ea0153724,0.0,1.0,2026-06-17T02:37:35,False
22,0xb731ccc5f62e99ea25220bfd73c3867bb5205790,,YES,217160.0,1.16,217615.0,0.0,550.7,0x744c2f5fadbc305d20fc91274b71a6896d294946,0.0,1.0,2026-06-17T07:37:35,False
23,0x20ec3d7739fc8ba82014a9cf0a771b427e0b56c0,,YES,214805.0,1.15,214999.0,17.0,461.7,0xfd8355b24ab8815ca2d76d1e495dc29b4330241f,1.093,69.0,2026-06-17T03:11:47,False
24,0x6573e30ee0ad46bc9afa0c2adb0d3f147d658efe,,OTHER/YES,206867.0,1.11,207329.0,0.0,1.5,,0.378,1356.0,2026-06-17T20:08:59,False
25,0x30b2daeb3757b6c7462cd0d776828f8d7398be50,,YES,196230.0,1.05,196641.0,0.0,267.7,,0.045,1271.0,2026-06-17T07:36:47,False
26,0x4863fe62d4cd3718bc0c104ec0cb45052d41e44f,,YES,192691.0,1.03,193094.0,0.0,955.8,0xcf2e28e5e57461254b8b254ae6d03c89d19bf743,0.0,1.0,2026-06-17T11:09:11,False
27,0x1a0d30c0d36ec7fbd1082ce54443acb68ddaf351,,OTHER/YES,178654.0,0.96,178819.0,0.0,240.1,0xd0a530121747b005af6bed69426092cb525713d5,0.0,1.0,2026-06-17T08:17:47,False
28,0x89bebc6265fa32861e38ae26e112aa4694b9103a,,YES,157726.0,0.84,157726.0,0.0,583.2,0x0f8fe8e8b7ad38615904a08e821e875fa19d8b67,0.0,1.0,2026-06-17T10:03:35,False
29,0x2d51f7645dd96bcac85a62a3affd70a419776f52,,YES,150355.0,0.8,150670.0,0.0,1524.4,0x0dd7762e2fe09c9ee2f5acdea19c102f7c16d8c2,0.0,1.0,2026-06-17T07:45:23,False
30,0x48f87ad9d4532b1db5fef365a56d8035e88579be,,YES,148327.0,0.79,148638.0,0.0,1121.7,0x419d955a9c3df6a1b9eb3ebf2d21a3c63a8d57ef,0.0,1.0,2026-06-17T06:40:35,False
31,0x240d2243d90e8968d0c8e807202bc8a2de0dc53c,,YES,143537.0,0.77,143839.0,0.0,106.4,,0.022,164.0,2026-06-17T13:13:23,False
32,0xe42088fe251e3173e680f4b4a7f3942e5b8b021a,,NO,136045.0,0.73,136045.0,0.0,500.9,0x203f9674be9782bc4b194625ee9dc6800e65b2d8,0.0,1.0,2026-06-17T22:45:35,False
33,0x5869458f360d8c1ce49e35fccb3d0a1f25e8d533,skakun.eth,YES,124209.0,0.66,124469.0,0.0,238.0,0xb6e74e6fd559f9207679d128dddbb35b9042a166,2.831,922.0,2026-06-17T01:22:59,False
34,0xc12fa1c74c5d97c8eae9c16ab9df28837d9d39ee,,YES,122819.0,0.66,123077.0,0.0,420.7,0xfa93e76bb7de1071d6f9c0f77af883c2a944b2d1,0.0,1.0,2026-06-17T17:17:23,False
35,0x92d76b5d5ee767a4a90719a9a910936dc4006fc6,,YES,119580.0,0.64,119830.0,0.0,497.4,0xfcfa494c13409172109f161c428499b39682ffa4,0.0,1.0,2026-06-17T09:55:47,False
36,0xcd16c08f73cd87558304ce2209fca69ac5885e69,,YES,103363.0,0.55,104470.0,0.0,79.0,0xb09080c5ac5adc483208dfbe22f8684eec907c17,0.025,192.0,2026-06-17T01:24:59,False
37,0x9b8f31d4a132cfd3425eef49076e56e60dc1ed2f,,OTHER/YES,100718.0,0.54,100811.0,0.0,932.3,0xf39695c39eacdf81d146ce6667e81476ea9b3fa7,2.299,831.0,2026-06-17T03:39:23,False
38,0x8b64673c9a482913a6e2c1298637532947cd96ee,,YES,97881.0,0.52,98085.0,0.0,2004.2,0x9bc114cbdf47021f15416e720bc71b5341120e87,0.344,1957.0,2026-06-17T06:12:47,False
39,0xf0180d4561dbaeaac3b96b7491bfafc94cea4069,,NO/YES,96349.0,0.52,96438.0,0.0,765.7,0xd48010de315e10d071853b1466f0c273e766fa07,0.0,1.0,2026-06-17T07:50:59,False
40,0x7baa3b328603535006d76d7b80af7260fd8a946a,,YES,88234.0,0.47,88324.0,0.0,1392.7,,0.051,668.0,2026-06-17T02:57:47,False
41,0x84252729ed32fa0fa1b454b8f58b71758239d627,,NO,81337.0,0.44,82164.0,0.0,47.3,,0.084,323.0,2026-06-17T16:45:23,False
42,0x6391098e7404210be5b4b67c1bb6c1bdf4be194a,,OTHER/YES,78914.0,0.42,78987.0,0.0,1767.4,0x24f16d0cda8c2de21c762e0295c28d7249a972a4,0.0,1.0,2026-06-17T00:04:35,False
43,0x69d0a6ccb76f3f7ef96dada03b01b555e76fa819,,YES,77718.0,0.42,77718.0,0.0,263.2,0xdd2cb8c9b8fccdc366ae60f4fe1c99813ec0d18e,5.91,152.0,2026-06-17T21:22:11,False
44,0xed92d127277fae0dba3490b724f81dcb95a8a7b0,,YES,75129.0,0.4,75716.0,0.0,55.9,0x27064cc4fe5bd5a20d0e5a21390a45f5a44bf7d3,0.0,1.0,2026-06-17T13:17:11,False
45,0xa9b0d5c5e012cb47dd473fe3cea272b5f716c344,,YES,61675.0,0.33,61805.0,0.0,983.6,0xa8e20d1b16c2821c2e17a58eb9c92c2ec7699283,0.0,1.0,2026-06-17T22:03:23,False
46,0xc9e8233c2c5476cda4f96595bbb3a9d117168df5,,YES,60980.0,0.33,61107.0,0.0,333.2,0x79c8039c0cfbdc3cdf8d66efb1ad2836e698ea3c,0.0,1.0,2026-06-17T12:38:11,False
47,0x44a836d78305a80a45a203addd0fb82485dd16bb,,YES,55051.0,0.29,55205.0,0.0,27.1,0x841499f8f5f869c20886d581641dc181e9c6b672,0.08,244.0,2026-06-17T01:21:59,False
48,0xe6643d4bc9ef9a7b4a1d52a5d6b7df97daf6431e,,YES,50481.0,0.27,50587.0,0.0,391.9,0xa4d849e3b972088f72ed2899f2945410cd784ba7,0.0,1.0,2026-06-17T13:04:47,False
49,0xc514ee0ec7d8cd86d32b60cbbe753f115959ed00,,YES,50256.0,0.27,50361.0,0.0,390.2,0x82ac3585ab4c876acf7bc28cb6833a65ba7ec7db,0.0,1.0,2026-06-17T13:05:47,False
50,0x04b81d0480d5899b7d1460fa5036b66415ecdb57,,NO,44276.0,0.24,44270.0,0.0,356.4,0x1de746bb64222c304b38f84613745323cb6c7fc1,0.0,1.0,2026-06-17T23:30:59,False
51,0x18f7f5243263e84ee8de50ca6c704b3415669222,,YES,42894.0,0.23,42984.0,0.0,59.3,0x1cee194da1eefe344fb2e7f46fab7d3a65c078e5,0.0,1.0,2026-06-17T17:14:11,False
52,0xa7b9d5fc54eb3ffe1985a10e28d045a9b89487d0,,YES,40412.0,0.22,40497.0,0.0,378.9,0xb397dee549e3fdf24c82b72707cb6fcd849d214f,0.488,715.0,2026-06-17T01:19:35,False
53,0x060b1eb582790cdfa8e56afebfc4fcafcd2081fa,,YES,40342.0,0.22,40427.0,0.0,378.2,0x342f40fc637e631f669a5b38fa4fc94dcdd7dbed,0.027,19.0,2026-06-17T01:19:11,False
54,0xefe1fcede58d10606e89fdcf7539035686c7e2ad,,YES,39605.0,0.21,39688.0,0.0,116.8,,0.017,108.0,2026-06-17T08:00:47,False
55,0x69d0341d380a1229f4751a0a721345dbc716586c,neondaemon.eth,YES,39413.0,0.21,39495.0,0.0,150.5,,0.923,1740.0,2026-06-17T05:27:23,False
56,0x4431211df49f9a51cbba89467a524985cc809080,,NO,34450.0,0.18,34403.0,0.0,476.7,0x53a30736a43c413edf5c13f049d34d3dd57b7128,0.0,1.0,2026-06-17T11:42:47,False
57,0xe348855eba9f8b179fe379dbb6f776e40f46484c,,YES,34243.0,0.18,34315.0,0.0,131.1,0xb7351893b4108a62cd765cdaa8ed6e8544e9bbf2,0.0,1.0,2026-06-17T13:29:59,False
58,0x47a40a367b3298be3da3bde3994c5342e26f368b,,YES,29926.0,0.16,29989.0,0.0,2620.9,,0.185,831.0,2026-06-17T00:17:23,False
59,0x49b3fb1b5e6c6ae2a0f15de68f73f9e5cf99bd78,,YES,25801.0,0.14,25801.0,58.0,86.4,,0.02,377.0,2026-06-17T00:15:23,False
60,0x126db3213b309a8d554594e591e614425ccac78e,,YES,25225.0,0.14,25278.0,0.0,26.4,,1.191,1593.0,2026-06-17T00:28:59,False
