proxyWallet,queriedWallet,timestamp,activityTimeUTC,deadlineBucket,conditionId,marketRelationType,marketQuestion,marketSlug,marketEndDate,type,side,outcome,outcomeIndex,asset,size,usdcSize,price,transactionHash,title,slug,eventSlug,name,pseudonym,bio,isCombo,_collectionTimeUTC
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540725,2026-06-15T16:25:25+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,20.0,19.0,0.95,0x2a20a71320b9c53a1eb429e0a0660994e47c96847d7b80759ea029760c7b32b9,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540730,2026-06-15T16:25:30+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,20.0,19.0,0.95,0x43cd1e7d3a2e7c5308d00b14bb52a79dd15ff7d5b972d8aa22c6c583581354ad,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540736,2026-06-15T16:25:36+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,40.0,38.0,0.95,0x9a716cb9d98a84f109ceb6481abca8e91635e7727035a85e6fe5e413615d70d5,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540758,2026-06-15T16:25:58+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,59.43,56.4585,0.95,0xe8d841a14f771fb56a4f5b2e125efba36431ae2326bee6cc5f0ebd5091a09ed9,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540832,2026-06-15T16:27:12+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,19.607842,18.607843,0.9490000480420028,0xb6905a54f6f7f511a7c7fa9f55d1398c9e82860c48bd79bbe1c2d08b795fb66e,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540833,2026-06-15T16:27:13+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,177.45,168.40005,0.949,0xe1dd9beb1a6aa689bb6721de061cfa6afad47c87eced9d0fe01eba328c8b357e,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540838,2026-06-15T16:27:18+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,19.607842,18.607843,0.9490000480420028,0xacec73edf707471dcc4d0d9ef3af3ae31111cc2583d66159a6e36bd942e7ae84,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540844,2026-06-15T16:27:24+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,19.607842,18.607843,0.9490000480420028,0xd28ce235226a0b2aec02df32f3673720770833b355dd2ab13c5c58013012656b,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540859,2026-06-15T16:27:39+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,19.607842,18.607843,0.9490000480420028,0x7bbee1159030998647663b60fd944433bbdb6411252f667442627ae222054d0f,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,1781540865,2026-06-15T16:27:45+00:00,Before market deadline,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423,TARGET_MARKET,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,,TRADE,BUY,Yes,0,5904694069529905826680225678119990013628860098514322777023141327768111791078,1219.019606,1156.849607,0.9490000007432202,0x0dc73628c3c1fdb8706c467c8ace7f891ef79c1e0890c4fc6a65f17819393074,"US x Iran permanent peace deal by June 15, 2026?",us-x-iran-permanent-peace-deal-by-june-15-2026-734-856-129,us-x-iran-permanent-peace-deal-by,ArmageddonRewardsBilly,Hideous-Racer,"After the fight battle is fought, The legend of Billy the farmer will live forever.",,2026-06-20T15:12:43.015385+00:00
