txHash,rows,assets,reportedValues,note
0xdad38546cfdcdb3932f944de87091c22b1a61827c1191b883e3cf5d3219d1488,2,MATIC,0.0,Review manually as possible post-resolution payout or token transfer candidate
0x08539f224dc98a82417b2aac049cc94d7686f3f2fa7facd7f5e82e349d29d8f0,1,pUSD,81.5412,Review manually as possible post-resolution payout or token transfer candidate
0x8f3fcbce7fac30d04571cb0eb1644e31c47fb64be39ba9cc73b81d3af960988a,2,pUSD,168.0;84.0,Review manually as possible post-resolution payout or token transfer candidate
0xb313b4fe57fee4bd43e7e603fd03ac81cca660ce46162014754d6899d5fab597,1,pUSD,3.5412,Review manually as possible post-resolution payout or token transfer candidate
0x791175e32ea4c52de3d1b49361f817d7aaea5660a92bb8c6bac9e7a8c841f31b,1,pUSD,17.043,Review manually as possible post-resolution payout or token transfer candidate
0xf2554efda5e566f1b58fb15cce1aed64ad0441b83ee1e77aaea5ba014abedab3,1,pUSD,886.45231,Review manually as possible post-resolution payout or token transfer candidate
0xed5747c54ea759c2cafdf35b07b73306b0200421c273f2b6c673a6922e201c9c,1,pUSD,3.4047,Review manually as possible post-resolution payout or token transfer candidate
0x6120d306482ccf2c03ab39ad67e3c55a26263414ed7a938661c27efd8d88cfe1,1,pUSD,3.999999,Review manually as possible post-resolution payout or token transfer candidate
0x5b47b133eaf36609dfe4af37f104c111c9943a18bb348294b92f525fe5e368c8,1,pUSD,14.989998,Review manually as possible post-resolution payout or token transfer candidate
0x55543b8dcd2185d85a042b8e7a386851aa64d256cd8df6be6e63ca84ab06f4e0,1,pUSD,199.999998,Review manually as possible post-resolution payout or token transfer candidate
0xde218a2063a0ed7207e38a7513d8ff3ba6e67dad7d980f87a5d249165305964d,1,pUSD,3.379998,Review manually as possible post-resolution payout or token transfer candidate
0x0569b7adb65198e5a19279318c777daca0386c46143dfd952338c26d886659a8,1,pUSD,30.339998,Review manually as possible post-resolution payout or token transfer candidate
0x7246f997fe962f9b8ce261af88c82424218caa08f7d4dd1b294e3eb3c5f94f00,1,pUSD,1.9968,Review manually as possible post-resolution payout or token transfer candidate
0xda8b5118ee01963d967052807bf09f055776ee7b50a2c742be824898e061fd8a,1,pUSD,1.619999,Review manually as possible post-resolution payout or token transfer candidate
0x2343adbeade4ffbae64a5ca151b36cd4cbedc4f3fb83b07f8e3ef79dac98d71a,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x4c21eb3e01fdebd0426e892c8e4b105dc0c074505711e71fff6b9c5124371d84,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x91b852cce0c5e6fe495d1077ee3be1f5e8f2ee4a13b0138cc23a2fe607be4e25,1,pUSD,1138.8,Review manually as possible post-resolution payout or token transfer candidate
0x096555aad2ee2f63365bb681ae432167bf45c8e5311524df7e9d9b40f6fe41f2,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x397aabc84ebd103957dd8dbaad15b166ff0826517194179136911b8c06246443,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xa15134b1beaee1a719db98dfda58133595a690b267421f302a4d4c4f4fc99442,1,pUSD,370.9511,Review manually as possible post-resolution payout or token transfer candidate
0xa8353b2634f25dc6d1c7cf8d275f250979ede74996b5330edac62147e2cf49dd,1,pUSD,1.999999,Review manually as possible post-resolution payout or token transfer candidate
0xf2ec222aa7edcdd8234c6428151f736c8970adb22a6372ba996fdce9c5b9da54,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x5f44e15c37fbeec0e42f8cfefb1e5f4667eb181238c502ac26afe4d377415f09,1,pUSD,3.999999,Review manually as possible post-resolution payout or token transfer candidate
0x5a26ccb66693d39f62a6b4ec80b2a734e4f042f54cad932495679b57510b796b,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xd6c5e9d7734692235d5c9ed185964053d192c21bff28052d9857bf63e42afef8,1,pUSD,199.999998,Review manually as possible post-resolution payout or token transfer candidate
0xef9fcdc322a735190dfb03c6a2996e8df6d0984628400bcf17e50c186eb36dc9,1,pUSD,15.919998,Review manually as possible post-resolution payout or token transfer candidate
0xbef34214b0c274f4966a0c196bc5b8fc3d3e156550d96807cd8651fff69254ea,1,pUSD,3.819998,Review manually as possible post-resolution payout or token transfer candidate
0x4d63084e56e584588da8f364c2fa1f6e3d5affb77feda62edb64184fb42c49f3,1,pUSD,923.6435,Review manually as possible post-resolution payout or token transfer candidate
0x11b015fbd37705d04e4573d6f3bd19b62690df820653321c28fbda482161b524,1,pUSD,185.5812,Review manually as possible post-resolution payout or token transfer candidate
0x88dbaa9dcefadae25089403c34a18bfc0fe34dff5e0ac3db99fb7be521c6986d,1,pUSD,9.999998,Review manually as possible post-resolution payout or token transfer candidate
0x1d1b34d4d33b7b405fb12cd560068e24fc4d1340e145ec0355560a163cc3e89d,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x418be23e6ffa9dbc851136db56e26725e3834b4bb09efa2dadaf0f71c83f4071,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x74dcfcf03367c2dff1ebbb8f268058aedab4c2a4f27ac0de267e173122e32030,1,pUSD,1.009998,Review manually as possible post-resolution payout or token transfer candidate
0x88d1d87f447852782ac257896dcd7dd7ec82a539217b354778e42b677c5a4d9b,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x96da53c83aff3a98394b1b738a51673b9ff8896c883a7caf0ecb3f1bd74b3e6f,1,pUSD,1.009998,Review manually as possible post-resolution payout or token transfer candidate
0x19985c8dcac7ada1b30287aad2d8b1e4985bc754b06a816de3237714f52f0097,1,pUSD,1.009998,Review manually as possible post-resolution payout or token transfer candidate
0xd2247e1f39c0bb5ebb643aad1dcbbf2f567a86ad1aae437b77f8813c83653490,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xc3575238acaab5a6cee9b0b2065e7fbfca89a74e3ff0678e63988dd3514ff3dc,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x3b3f20c1e48ba8801eb77ba99a28d4eb488b9216c08fcda10028f50dbbaf73aa,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x708bacdcdbfc65790cd99588a4f87c9fdbf812562ca506f86f55db8357f89dd5,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x99cba29193ca00ef6ad11874ca5d0aec580f4394281141b67e37018f0136b348,1,pUSD,19.4,Review manually as possible post-resolution payout or token transfer candidate
0xe144eb9f1d79c7863224249ae3f468de3f61be569ccb378139acd6031573214c,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xe207b75e5343268a7cc06c275458df382b9334baf6a85da5f7754151de717f8f,1,pUSD,15.4768,Review manually as possible post-resolution payout or token transfer candidate
0x1be9aac79d5ea7b1820a54f38af4ebeeb6ee698e45322f8705050bc7f9624581,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xe06ac7c0c92198397bcb9ed50d6b53d8b27b4b69ac555cd5835dfa53f22c483f,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x5c1c9507d1f1adcb0a4081bb956ece331a3c07819b10709a1b3a3b1faa88aece,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x24b6f49cd4c011f5333a480615059e498321ad25b19842099c0b9fb5624e2bd3,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x9a12d107dfa433b5d7bbddee84d507ad5cd8ec8d70e5638735fd4860170fe78c,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x20c7bd9371b300065236768e02d0bfa9aa858fbe961d7f934824a90911dcf582,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x2efef24426d56ca7d450525f53c3d14872e7f1fc618b7bbdda3b72714583ee0f,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x6becfd4f89ff84904cfad4fcddabce010c2671414548d78853fbabf773e5fde8,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x324d4ff4b0fb6cb8d3c204a2a4ab1e733d56f7fcd3de4c0def7768123f5f71df,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x84a3487916ceecc97108e795314f1e24edf9cfe3a9cef053ca697fc093ab8e55,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x1a098ca60c96fe26defb78ac0e72f41454a1e6f97101a7b3a19eafe189ebecf5,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x54158bb91996503bf6dfc7c4ebd10bec2751b9d3061f9141ebeeb9bba9735955,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xe2ff9960c44c7746fa11b6b9899d969add75f22d4a0f1df0360625fe59c89f38,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x8070456a65514759fc6f3b260d3bb56652344c34a0ab6c5faf25aa86705bc3c1,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x0e11e0d79666ab228ad82c93daad1bd95b3831fa3605d93c245ba88224e22cca,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x37a26522dded288e567436473b732b14a652a342bd88dd62c15c25b8a89363d5,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xe2708215864540226b4c8301e3fdf871d1b472ccdf9e7a1f73a309db7916b0d1,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xb6eb4287253bc4d2262cbfc9b3a2fba528640a3f21704011562ace39271137f6,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xee38f9a34e135bfd88c08a7fbb9f7b04bb4efc338f1abf215f48811bd97829a5,1,pUSD,4000.0,Review manually as possible post-resolution payout or token transfer candidate
0x62dcaf2698865408641a06b76187a09eea3fcbbf808f1ccd4b3b5fa5fb566550,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x4f7119072586e57d11f20253d26255c4b9a4116079d6b0e55de294dfe9591c73,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x854823821b0e2e55dca0b1ffaa3d5b71cd5d24b08932493899718d8c816349ca,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x70d2127bbc3fef789bb99f7e5b6750376b301dd07a63079bf9312583b2d79cb8,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xb9fa6e0697c18ccfcf010111992811c0160d9f91d56fb970e7358dc806b51481,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x4439d1bc7e553fcc567b6e601d6cbb0a710e2c820762ff17136a17357af6140d,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xdae07bec7cfe73af0b106479e2207c69c0ab6393a14fa3d4c2cd739ada6e3832,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x0e92a38f4335361234a4b577841f55caf2a28d4915c7b35ff7ce75e6efa6a2bd,1,pUSD,1806.5472,Review manually as possible post-resolution payout or token transfer candidate
0x47ad5955d0f08f78a032bf0f962cf9547628eab97dffcbf6f6ed7e1e6145ff0d,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xdb9cd624314b39e7ecbedba6690de9317f7fe822e137925632c79d5bca3dafc4,1,pUSD,367.9968,Review manually as possible post-resolution payout or token transfer candidate
0x06b18ad2957bae089eb46943168ec4466ec523526f3b0329075d825e9df53fce,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xbd63471ca6a6484b34b2276f35d554ee2891cd54e233b45d13f3f0fbbcca5de2,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xe54719bd9aa623110b0223d2100b4e528834683d1866a82052e805767d51b606,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x94d73d2811275ae664bb44745621338a7f1a6540ec175bbbfde79e53db4186d7,1,pUSD,1.279998,Review manually as possible post-resolution payout or token transfer candidate
0x6003fd2319dcacf961e216310ac0770743564bf7e60be628b509bd36832d3fe0,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x30490ed7ad2a2700baee809bc237f0f4242eefa1f0e2adf38db361f3c3359680,1,pUSD,24.999998,Review manually as possible post-resolution payout or token transfer candidate
0xbdd674392cdd5a69724fac3961ca392538b8e1fb31b7c378c11145befd380728,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x5cad1d8213981256f3ab5db160eef62e0efcadb8d695f23dba124de2d388336e,1,pUSD,3.9279,Review manually as possible post-resolution payout or token transfer candidate
0x31b879b92bb4b3e8d4d62577125cc20179646df1c6baeb55960da3de1cf4bde8,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xad9e7ef7c9c891ee3ad85d11b53e618efe94e2ff9ad1268037c1b7623fd6f6fe,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x46993843e3758e0da268b78a5f5f3f15282ae84c37a24eaa6c4649063f5a6213,1,,,Review manually as possible post-resolution payout or token transfer candidate
0xaf613d9fb2cb1c026f5ec74962a251d430dfb4bc2c2fbb3c52706a3b1038d38c,1,pUSD,2.6976,Review manually as possible post-resolution payout or token transfer candidate
0x9e0f8eac0156f842dccd3e53d5e21c7c23a01a810a7ab488b1620690399d39f1,2,,,Review manually as possible post-resolution payout or token transfer candidate
0x98d6608edfcc125e53aff713416618ad9a38c098143747ad99590f613c844987,1,pUSD,846.0938,Review manually as possible post-resolution payout or token transfer candidate
0xf506ede7d37d5ff8fba06fb86c8e77cc8d191f2c19a691bb57dfd0dabbf6eb25,1,pUSD,45.4866,Review manually as possible post-resolution payout or token transfer candidate
0xd24193dfb01119567d5be798cf932ae50b4594068e6e923728fe4372a4b8a1f0,1,,,Review manually as possible post-resolution payout or token transfer candidate
0x3f649fc982e20f7af93e24ffbf78d1a825e716d5198c6ec20465820dc180c7f1,1,,,Review manually as possible post-resolution payout or token transfer candidate
