walletLower,wallet,sourceGroups,step11F_priority,patterns,priorityReasons,totalYESNotionalUSDC,targetMarketYESNotionalUSDC,futureMarketYESNotionalUSDC,firstRelevantYESBuyUTC,redeemActivityUSDCSize,step11DTokenPathRoles
0xfef4edf8c1a76e66ff065081a136c9bfeef429bd,0xfef4edf8c1a76e66ff065081a136c9bfeef429bd,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,13925.4606,13925.4606,0.0,2026-06-18T00:15:19+00:00,,
0xc4eaee3cdd1e20a75209250dc8c67a6d180262c5,0xc4eaee3cdd1e20a75209250dc8c67a6d180262c5,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,11099.889,11099.889,0.0,2026-06-17T23:44:59+00:00,,
0x144e019d576f112fa767cc77240b98a7f31e5e08,0x144e019d576f112fa767cc77240b98a7f31e5e08,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer,10372.85581,844.83432,9528.02149,2026-06-16T11:02:45+00:00,,
0x615346ac3277f46c5282bd7eb20fc496d55144ab,0x615346ac3277f46c5282bd7eb20fc496d55144ab,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer,9804.48835,589.33008,9215.15827,2026-06-16T11:02:45+00:00,,
0x5a892cefe9c01ed049d8e5193136abaf5808c186,0x5a892cefe9c01ed049d8e5193136abaf5808c186,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer,8719.62841,777.59163,7942.03678,2026-06-16T11:02:45+00:00,,
0xc1265aa3d6f6c8315756bc46305f29c0f7a4832c,0xc1265aa3d6f6c8315756bc46305f29c0f7a4832c,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,7341.9507,7341.9507,0.0,2026-06-18T00:32:16+00:00,,
0x45e1535c178dcafb136aec8b7058f2129b695934,0x45e1535c178dcafb136aec8b7058f2129b695934,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,5624.9694,5624.9694,0.0,2026-06-17T21:21:19+00:00,,
0x1987733c8beae675c544752eafe437968efe6487,0x1987733c8beae675c544752eafe437968efe6487,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer,4485.95965,490.6089,3995.35075,2026-06-16T11:02:45+00:00,,
0x71bd821b2c823cf67ed329abbb6a05d3ab9eac00,0x71bd821b2c823cf67ed329abbb6a05d3ab9eac00,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer,4189.20817,559.00044,3630.20773,2026-06-16T11:18:01+00:00,,
0x793ed200a1e8344d608a17763d9cb8773b3643bf,0x793ed200a1e8344d608a17763d9cb8773b3643bf,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_AND_FUTURE_MARKETS,target-market YES buyer,4167.28486,726.64263,3440.64223,2026-06-16T11:02:45+00:00,,
0xe8278d22bef444ede84505b7c0ec4e4001305209,0xe8278d22bef444ede84505b7c0ec4e4001305209,YES_BUYER_PRIORITY,1,BOUGHT_TARGET_MARKET_ONLY,target-market YES buyer,3490.21629,3490.21629,0.0,2026-06-17T23:46:52+00:00,,
