wallet,sources,sourceFiles,sourceColumns
0x5f42bf4c09bab264d9cb34725a198066ae82e101,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5f4ec13effa80000426ac764d8c2e313d4a0ce96,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x5ff84b0e40b8bb7a189118f49ba7b8f74fab973d,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x6047322d501de69d3dd47fd52611b965bdb8facd,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x6049761986af66cd8e78997c940766bd69c7f14f,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x604a3636d184093cf9ade94a332e4aa05350d5f8,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x606ffc68a29ebf92f9dc1d041fec5d0127571083,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x60a92c8620846d81f5ea17b0564e0d4b7c545a71,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x60edbe206a976915a79af9316824950196179c7d,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x6138105511d0442ff652349e6705d06024ac2e07,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x6147d56b02fabd35cd9fc2b80a60276cdf089521,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventCaller; workbookDelegate
0x614dc8d3542c12103d2c6a3553fd761e391d1546,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x614ef7dc91765f9119d648ee0218685292dff2ff,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x615346ac3277f46c5282bd7eb20fc496d55144ab,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x6268011cdc123d7ab44cabdef70b7a571f286031,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x628a9ac7d5c6e85c1777adf34287a6a719436d8f,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x630b2b36f4bc512ef2860f2b5fb17e23c12d48e3,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x630c8132d184e245e931c5a5bdc3b2dd478113e2,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x631c2b93ff03c21d29b2b73af4ff965e88ea450f,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x635d4ea180ca206cb2ae9c02bfbe93583b195025,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x637f04a15369b9c6e815fcc84bbbc3fddcf5220b,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x6391098e7404210be5b4b67c1bb6c1bdf4be194a,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventVoter; workbookStaker
0x63bc8a8dfc4840fb0d21c9ceb7fc046bc34a5025,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x648bad7080caa1a9931b2774b20e87eca75900ba,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x64b2120337f24f46bec3a36dda3254f902de55de,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x655abbf374758b27b047ef97757885b4ce0adf0c,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x65649fc779c66dec9d2bb48edea367b06b6f47ce,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x6564c6c44ef87e3bb32d7987317869817380340c,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventVoter; workbookStaker
0x6565f7ee4e2a667638ab91aefc0528b5191a8d21,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x6573e30ee0ad46bc9afa0c2adb0d3f147d658efe,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventCaller; eventVoter; workbookStaker
0x66a1db98713015330a82f08273b682bee77e80d9,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x66ca133ec691ca210251fcd4c963ba220515225a,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventVoter; workbookStaker
0x672225e5e1aba1c970ac613efd1505f4b7a10762,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x67aa461d99eb5b95eefda2eed7af8f4efc0f8f46,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x6966d2f3a2e0727b0eaa180ba5b33dc645e053ed,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x69bd16636702559651a8fbb06ef8dcde817247cb,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x69c8df4225beb08afdeb5b542e81a393f426999b,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x69d0341d380a1229f4751a0a721345dbc716586c,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventCaller; eventVoter; workbookStaker
0x69d0a6ccb76f3f7ef96dada03b01b555e76fa819,"UMA validation wallets, direct comparison only",uma_vote_validation.csv,eventVoter; workbookStaker
0x69d57cfa1abed351049d0d8de541b33635ce7767,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x6a2f0438131fb53ade99442ead13558eece87105,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x6a88c5ecd262e2c42e78bad8e6db7ab3c4e4b859,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x6a924500b46196928132932bea000cf05939e8fb,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x6b133170edaaae9d61c296ae8c7b9f43bb3bf125,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
0x6b24cde2e124122ff52ddb05160896f43f80cf25,"Cross-market YES buyers, including future-market-only buyers",04_cross_market_wallet_summary.csv,proxyWallet
