transactionHash,contextRows,proxyWallets,conditionIds
0xd5354f57043236d1deeea58b07b5ec889ec3cb471739726fa832dec57f9f6f95,4,0x2fa801da750904fc348ccb9315a0b892377d4359; 0x3670279e844f5005d7ed8cc37ca562eaadef34f9; 0x4099db7f2d394449ccf89c8d42260ecaf1d79fb8; 0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c
0xb97d0acbaa235391ff3938f0f26b8f5b169c65717f2d34d8bfbb4ade4f9b070c,1,0x5bb0de4e97698184ead80c80cb17a26cd6f6814b,0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c
0x2a61b56e812368e40212eb51dd5851d9978accdc1dff3b1b68983a6575482073,1,0x631c2b93ff03c21d29b2b73af4ff965e88ea450f,0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c
0xe028a32b70165c553e02bce1df378e811aff545219a7c10b92838b9c58cf4315,2,0xd189664c5308903476f9f079820431e4fd7d06f4; 0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,0xda519921a7090298cbdc56ee838a403a5193c2b3f637aef3e154e52de7b5e79c
0x62936d924e368971d8876b037ea55535b6927ca440a39eaad737e69512cbb4f5,2,0xebc6257296364265b17cb6e2d605c66d14fdd45f,0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122; 0x9769f78cbc95a5ed11895e6064bac471d8fd8f930b260cf581b68d3f58630d27
0x8b7cfdb9961512b6c664d6e778e2678ee367d49c2e3ba175cdacb0862950dd65,1,0x7b676d5a6379855773d405fcf19b9aa577651b07,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x6bdd916bbd6c993bfb1ed0a895888c8cbdf2e3eb5e98c3ef6173699c4f9772bc,1,0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,0x20af55ab35186377b81219db6cb8615240cba42cea41731091be9484a5f5b122
0xb4d109ddc4bbbafd7bf015d10561eacb72e870c662bb3350301e9da61cd12b72,1,0x54498e4c40b17261479aeaeeddf9cc37bd46992b,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0xca061b0711efc119b68b6799748702df6e489056101b53bffe95f2ce93e4471a,1,0x54498e4c40b17261479aeaeeddf9cc37bd46992b,0x087713ab2905e789c42c3fafdf747512f8d7883b7fab1ac554b703310c09d869
0x92c920a96f7ed8b5732cf71f65d0fdad6171717998f9162fec1355e43d448cc7,1,0x54498e4c40b17261479aeaeeddf9cc37bd46992b,0x087713ab2905e789c42c3fafdf747512f8d7883b7fab1ac554b703310c09d869
0xc1c32fa488da38f26182141bfac52b0d185ccbe43b5342172a55388f7b9f29e0,1,0x54498e4c40b17261479aeaeeddf9cc37bd46992b,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
0x9739a21dcff6b4e56256a9401b09b9cbb01e9377aa9c3c623bc8839ab269a595,1,0xbeae9360957c3af4977972260bbb4539762ff5c0,0xd86a816093fcd0a0e1ca440bc5ce199bd3c5a8d6139e044b076958164f8c5423
