proxyWalletsFromRedeemActivity,selectedWalletRole,tokenContract,from,to,valueRaw,valueAssuming6Decimals,blockNumber,blockTimestampUTC,transactionHash,logIndex
0x648bad7080caa1a9931b2774b20e87eca75900ba,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x648bad7080caa1a9931b2774b20e87eca75900ba,280041483,280.041483,88691830,2026-06-18T00:32:20+00:00,0x4e2d118ed127520447de3e6f95d90e310d99a87f9d1ee1c49ffc28a52f7fbba8,1927
0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0xb8a47d387beb9ec7fd4baaec05396e9677cea13b,255652633,255.652633,88691830,2026-06-18T00:32:20+00:00,0x507151a6126eee680d1ae79c581c14aa81a678872f78a7487e6c456bc1335245,2533
0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x12d6cccfc7470a3f4bafc53599a4779cbf2cf2a8,30980615020,30980.61502,88691831,2026-06-18T00:32:22+00:00,0xbbe89a2a65f8c209b8e47279594bbb1d9ffaf267e49bf191a0f391f2e1e69200,1328
0x1295269296e51cd28a3db85fa6728c0e352b5cfd,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x1295269296e51cd28a3db85fa6728c0e352b5cfd,249013479994,249013.479994,88691831,2026-06-18T00:32:22+00:00,0x723a8d7f127fbb5827c34616f04495cacd84722d1f39bf01ab1680bee05634fc,1714
0x2fa801da750904fc348ccb9315a0b892377d4359,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x2fa801da750904fc348ccb9315a0b892377d4359,189452602,189.452602,88691831,2026-06-18T00:32:22+00:00,0x4edfb47c5ef1324fbe52c38ba26f9c2ff1c6cd260c18a4292d9d54c765e19cba,2349
0x4c358f830cea4ee26a301ed0faef418bc149fcfe,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x4c358f830cea4ee26a301ed0faef418bc149fcfe,1836868725000,1836868.725,88691831,2026-06-18T00:32:22+00:00,0xf89c3165a2569aa31aa6beff05ac2ae347d991157cd0a3cc001f9a6f28a07023,3483
0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x0c101db716b0d39f7b7431e7f5edbc3cc9adf96a,135666380000,135666.38,88691831,2026-06-18T00:32:22+00:00,0xb60688586fc91e6f6f8576022d23ff0a58edd4388ecc4f39e324c257bd1f8c82,3649
0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x02e7f29f3e612a95a9ccca7131ce7dd5d56b59e5,69927830000,69927.83,88691831,2026-06-18T00:32:22+00:00,0x73fab6713d68836586f276aafd6a984e0a0b0dded3df3fdfe6c977ae4e2e6431,3888
0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x8ebfdc251c6c378d4a3a54a8f15cebfa4b9183ce,9670000,9.67,88691831,2026-06-18T00:32:22+00:00,0x1372010d3fa36f073a80004eac70f9c5861292e8dd993d4a8c1698d4ebc18023,4499
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,TO_SELECTED_WALLET,0xc011a7e12a19f7b1f670d46f03b03f3342e82dfb,0x0000000000000000000000000000000000000000,0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,520638049379,520638.049379,88691831,2026-06-18T00:32:22+00:00,0xf1e1de5331811395d4071ac093f76771a76628a4b3f5eefd8ff6614556eeed80,4716
